assetid,assay,maxcapacity,,,
R2D2 (CAD)_ (10045347 LC)_ ,Polysorbate CAD,12,,,
R2D2 (10041062 CAD),Polysorbate CAD,12,,,
R2D2 (CAD)_ (10045347 LC)_ (10041062 CAD),Polysorbate CAD,12,,,
Woody _(10047727),nrCE Maurice,24,,,
Buzz-Lightyear _(10045659),nrCE Maurice,24,,,
Slinky_ (10048168),nrCE Maurice,24,,,
Bullseye_ (10048166),nrCE Maurice,24,,,
Woody _(10047727),rCE Maurice,24,,,
Buzz-Lightyear _(10045659),rCE Maurice,24,,,
Slinky_ (10048168),rCE Maurice,24,,,
Bullseye_ (10048166),rCE Maurice,24,,,
Grumpy (UV)_ (10040006)_,nRCE KBI,12,,,
Sleepy (UV)_ (10042981)_,nRCE KBI,12,,,
Happy (UV)_ (10041302)_,nRCE KBI,12,,,
Doc (UV)_ (10041303)_,nRCE KBI,12,,,
Grumpy (UV)_ (10040006)_,rCE KBI,12,,,
Sleepy (UV)_ (10042981)_,rCE KBI,12,,,
Happy (UV)_ (10041302)_,rCE KBI,12,,,
Doc (UV)_ (10041303)_,rCE KBI,12,,,
Grumpy (UV)_ (10040006)_,nrCE PA800 Beckman,12,,,
Sleepy (UV)_ (10042981)_,nrCE PA800 Beckman,12,,,
Happy (UV)_ (10041302)_,nrCE PA800 Beckman,12,,,
Doc (UV)_ (10041303)_,nrCE PA800 Beckman,12,,,
Grumpy (UV)_ (10040006)_,rCE PA800 Beckman,12,,,
Sleepy (UV)_ (10042981)_,rCE PA800 Beckman,12,,,
Happy (UV)_ (10041302)_,rCE PA800 Beckman,12,,,
Doc (UV)_ (10041303)_,rCE PA800 Beckman,12,,,
Sneezy (LIF) _(10040761) ,nrCE PA800 Beckman,12,,,
E16#4 (LIF),nrCE PA800 Beckman,12,,,
Sneezy (LIF) _(10040761) ,rCE PA800 Beckman,12,,,
E16#4 (LIF),rCE PA800 Beckman,12,,,
Hulk (TUV/FLR)_ (10041998),SEC-DAR,15,,,
Oden (TUV/FLR/QDa)_(10041999),SEC-DAR,15,,,
Vision (TUV/FLR)_ (10042001),SEC-DAR,15,,,
Kuzco (PDA/FLR)_ (10047902),SEC-DAR,15,,,
Loki (PDA/FLR)_ (10043387) ,SEC-DAR,15,,,
 Premier 1 ,SEC-DAR,15,,,
Premier 2,SEC-DAR,15,,,
Hulk (TUV/FLR)_ (10041998)_,SEC-DAR,15,,,
Mando (TUV)_ (10043096)_,SEC-DAR,15,,,
Hawkeye (TUV)_ (10040520)_,SEC-DAR,15,,,
Gamora (TUV)_ (10040762)_,SEC-DAR,15,,,
Han Solo (MWD)_ (10043382)_,SEC-DAR,15,,,
C3P0 (DAD/FLD)_ (10043721)_,SEC-DAR,15,,,
Chewbacca (DAD/FLD)_ (10043722)_,SEC-DAR,15,,,
R2D2 (CAD)_ (10045347 LC)_,SEC-DAR,15,,,
Yoda (DAD/FLD)_ (10042012)_,SEC-DAR,15,,,
Leia (DAD)_ (10043016) _,SEC-DAR,15,,,
Darth Vader (DAD)_ (10043017)_,SEC-DAR,15,,,
Falcon (DAD)  _(10043012)_,SEC-DAR,15,,,
Obi-Wan (DAD) (10043013)_,SEC-DAR,15,,,
Grogu (DAD)_ (10041764)_,SEC-DAR,15,,,
Woody _(10047727),cIEF,24,,,
Buzz-Lightyear _(10045659),cIEF,24,,,
Slinky_ (10048168),cIEF,24,,,
Bullseye_ (10048166),cIEF,24,,,
Dopey (iCE3)_ (10042974),cIEF,24,,,
